"Notes"	"Underlying Cause of death"	"Underlying Cause of death Code"	"State"	"State Code"	"County"	"County Code"	"Place of Death"	"Place of Death Code"	Deaths	Population	Crude Rate
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Fairfield County, CT"	"09001"	"Decedent's home"	"4"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Medical Facility - Dead on Arrival"	"3"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Decedent's home"	"4"	61	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Hartford County, CT"	"09003"	"Other"	"7"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Litchfield County, CT"	"09005"	"Medical Facility - Outpatient or ER"	"2"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Litchfield County, CT"	"09005"	"Decedent's home"	"4"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Medical Facility - Outpatient or ER"	"2"	23	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Medical Facility - Dead on Arrival"	"3"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Decedent's home"	"4"	68	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"New Haven County, CT"	"09009"	"Other"	"7"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"New London County, CT"	"09011"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"New London County, CT"	"09011"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"New London County, CT"	"09011"	"Other"	"7"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Connecticut"	"09"	"Windham County, CT"	"09015"	"Decedent's home"	"4"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Delaware"	"10"	"Kent County, DE"	"10001"	"Decedent's home"	"4"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Medical Facility - Inpatient"	"1"	21	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Medical Facility - Outpatient or ER"	"2"	41	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Decedent's home"	"4"	79	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Delaware"	"10"	"New Castle County, DE"	"10003"	"Other"	"7"	27	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Delaware"	"10"	"Sussex County, DE"	"10005"	"Decedent's home"	"4"	15	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"District of Columbia"	"11"	"District of Columbia, DC"	"11001"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Bay County, FL"	"12005"	"Decedent's home"	"4"	52	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Brevard County, FL"	"12009"	"Medical Facility - Inpatient"	"1"	25	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Brevard County, FL"	"12009"	"Medical Facility - Outpatient or ER"	"2"	45	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Brevard County, FL"	"12009"	"Decedent's home"	"4"	123	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Brevard County, FL"	"12009"	"Other"	"7"	43	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Broward County, FL"	"12011"	"Medical Facility - Inpatient"	"1"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Broward County, FL"	"12011"	"Medical Facility - Outpatient or ER"	"2"	28	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Broward County, FL"	"12011"	"Decedent's home"	"4"	44	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Broward County, FL"	"12011"	"Other"	"7"	57	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Citrus County, FL"	"12017"	"Decedent's home"	"4"	44	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Clay County, FL"	"12019"	"Decedent's home"	"4"	20	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Duval County, FL"	"12031"	"Medical Facility - Outpatient or ER"	"2"	32	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Duval County, FL"	"12031"	"Decedent's home"	"4"	125	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Duval County, FL"	"12031"	"Other"	"7"	47	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Hernando County, FL"	"12053"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Hernando County, FL"	"12053"	"Decedent's home"	"4"	62	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Hernando County, FL"	"12053"	"Other"	"7"	16	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Hillsborough County, FL"	"12057"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Lake County, FL"	"12069"	"Medical Facility - Outpatient or ER"	"2"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Lake County, FL"	"12069"	"Decedent's home"	"4"	44	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Lake County, FL"	"12069"	"Other"	"7"	13	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Lee County, FL"	"12071"	"Medical Facility - Inpatient"	"1"	28	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Lee County, FL"	"12071"	"Medical Facility - Outpatient or ER"	"2"	31	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Lee County, FL"	"12071"	"Decedent's home"	"4"	200	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Lee County, FL"	"12071"	"Other"	"7"	85	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Marion County, FL"	"12083"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Marion County, FL"	"12083"	"Medical Facility - Outpatient or ER"	"2"	34	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Marion County, FL"	"12083"	"Decedent's home"	"4"	71	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Marion County, FL"	"12083"	"Other"	"7"	17	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Martin County, FL"	"12085"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Medical Facility - Inpatient"	"1"	19	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Medical Facility - Outpatient or ER"	"2"	58	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Decedent's home"	"4"	159	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Miami-Dade County, FL"	"12086"	"Other"	"7"	103	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Nassau County, FL"	"12089"	"Decedent's home"	"4"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Okaloosa County, FL"	"12091"	"Decedent's home"	"4"	14	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Orange County, FL"	"12095"	"Medical Facility - Inpatient"	"1"	10	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Orange County, FL"	"12095"	"Medical Facility - Outpatient or ER"	"2"	18	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Orange County, FL"	"12095"	"Decedent's home"	"4"	60	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Orange County, FL"	"12095"	"Other"	"7"	26	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Osceola County, FL"	"12097"	"Decedent's home"	"4"	12	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Medical Facility - Outpatient or ER"	"2"	22	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Decedent's home"	"4"	69	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Palm Beach County, FL"	"12099"	"Other"	"7"	50	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Pasco County, FL"	"12101"	"Medical Facility - Inpatient"	"1"	11	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Pasco County, FL"	"12101"	"Medical Facility - Outpatient or ER"	"2"	30	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Pasco County, FL"	"12101"	"Decedent's home"	"4"	276	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Pasco County, FL"	"12101"	"Other"	"7"	59	Not Applicable	Not Applicable
	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Florida"	"12"	"Pinellas County, FL"	"12103"	"Medical Facility - Inpatient"	"1"	37	Not Applicable	Not Applicable
